[39.0, 'State-gov', 77516.0, 'Bachelors', 13.0, 'Never-married', 'Adm-clerical', 'Not-in-family', 'White', 'Male', 2174.0, 0.0, 40.0, 'United-States', '<=50K']
[52.0, 'Self-emp-not-inc', 209642.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[31.0, 'Private', 45781.0, 'Masters', 14.0, 'Never-married', 'Prof-specialty', 'Not-in-family', 'White', 'Female', 14084.0, 0.0, 50.0, 'United-States', '>50K']
[23.0, 'Private', 122272.0, 'Bachelors', 13.0, 'Never-married', 'Adm-clerical', 'Own-child', 'White', 'Female', 0.0, 0.0, 30.0, 'United-States', '<=50K']
[32.0, 'Private', 205019.0, 'Assoc-acdm', 12.0, 'Never-married', 'Sales', 'Not-in-family', 'Black', 'Male', 0.0, 0.0, 50.0, 'United-States', '<=50K']
[40.0, 'Private', 121772.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Craft-repair', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 40.0, '?', '>50K']
[34.0, 'Private', 245487.0, '7th-8th', 4.0, 'Married-civ-spouse', 'Transport-moving', 'Husband', 'Amer-Indian-Eskimo', 'Male', 0.0, 0.0, 45.0, 'Mexico', '<=50K']
[43.0, 'Self-emp-not-inc', 292175.0, 'Masters', 14.0, 'Divorced', 'Exec-managerial', 'Unmarried', 'White', 'Female', 0.0, 0.0, 45.0, 'United-States', '>50K']
[40.0, 'Private', 193524.0, 'Doctorate', 16.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '>50K']
[54.0, 'Private', 302146.0, 'HS-grad', 9.0, 'Separated', 'Other-service', 'Unmarried', 'Black', 'Female', 0.0, 0.0, 20.0, 'United-States', '<=50K']
[35.0, 'Federal-gov', 76845.0, '9th', 5.0, 'Married-civ-spouse', 'Farming-fishing', 'Husband', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[56.0, 'Local-gov', 216851.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Tech-support', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[19.0, 'Private', 168294.0, 'HS-grad', 9.0, 'Never-married', 'Craft-repair', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[54.0, '?', 180211.0, 'Some-college', 10.0, 'Married-civ-spouse', '?', 'Husband', 'Asian-Pac-Islander', 'Male', 0.0, 0.0, 60.0, 'South', '>50K']
[39.0, 'Private', 367260.0, 'HS-grad', 9.0, 'Divorced', 'Exec-managerial', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 80.0, 'United-States', '<=50K']
[31.0, 'Private', 84154.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Sales', 'Husband', 'White', 'Male', 0.0, 0.0, 38.0, '?', '>50K']
[48.0, 'Self-emp-not-inc', 265477.0, 'Assoc-acdm', 12.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
[57.0, 'Federal-gov', 337895.0, 'Bachelors', 13.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'Black', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[53.0, 'Private', 144361.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 38.0, 'United-States', '<=50K']
[47.0, 'Private', 51835.0, 'Prof-school', 15.0, 'Married-civ-spouse', 'Prof-specialty', 'Wife', 'White', 'Female', 0.0, 1902.0, 60.0, 'Honduras', '>50K']
[50.0, 'Federal-gov', 251585.0, 'Bachelors', 13.0, 'Divorced', 'Exec-managerial', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 55.0, 'United-States', '>50K']
[47.0, 'Self-emp-inc', 109832.0, 'HS-grad', 9.0, 'Divorced', 'Exec-managerial', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 60.0, 'United-States', '<=50K']
[43.0, 'Private', 237993.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Tech-support', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '>50K']
[46.0, 'Private', 216666.0, '5th-6th', 3.0, 'Married-civ-spouse', 'Machine-op-inspct', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'Mexico', '<=50K']
[35.0, 'Private', 56352.0, 'Assoc-voc', 11.0, 'Married-civ-spouse', 'Other-service', 'Husband', 'White', 'Male', 0.0, 0.0, 40.0, 'Puerto-Rico', '<=50K']
[42.0, 'Private', 116632.0, 'Doctorate', 16.0, 'Married-civ-spouse', 'Prof-specialty', 'Husband', 'White', 'Male', 0.0, 0.0, 45.0, 'United-States', '>50K']
[29.0, 'Private', 105598.0, 'Some-college', 10.0, 'Divorced', 'Tech-support', 'Not-in-family', 'White', 'Male', 0.0, 0.0, 58.0, 'United-States', '<=50K']
[53.0, 'Private', 169846.0, 'HS-grad', 9.0, 'Married-civ-spouse', 'Adm-clerical', 'Wife', 'White', 'Female', 0.0, 0.0, 40.0, 'United-States', '>50K']
[49.0, 'Self-emp-inc', 191681.0, 'Some-college', 10.0, 'Married-civ-spouse', 'Exec-managerial', 'Husband', 'White', 'Male', 0.0, 0.0, 50.0, 'United-States', '>50K']
[25.0, '?', 200681.0, 'Some-college', 10.0, 'Never-married', '?', 'Own-child', 'White', 'Male', 0.0, 0.0, 40.0, 'United-States', '<=50K']
